time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-3 15:37:43.366	WT901BLE68(B2C0FB98454F)	-0.909	0.335	-0.126	-77.637	85.754	-14.160	94.24	66.03	-24.41	33.124	-29.302	-15.386	0.41144	0.60944	0.04559	-0.67609	23.6	13111	100
2024-11-3 15:37:43.453	WT901BLE68(B2C0FB98454F)	-0.873	0.381	-0.091	-8.057	32.715	-9.216	104.34	66.02	-8.40	33.124	-29.302	-15.386	0.47894	0.68884	0.28036	-0.46622	23.6	13111	100
2024-11-3 15:37:43.573	WT901BLE68(B2C0FB98454F)	-0.927	0.499	-0.146	-25.696	22.217	2.136	108.13	65.49	-2.30	33.124	-29.302	-15.386	0.47894	0.68884	0.28036	-0.46622	23.6	13111	100
2024-11-3 15:37:43.675	WT901BLE68(B2C0FB98454F)	-0.891	0.423	-0.121	-23.315	17.578	1.770	109.65	64.38	2.54	39.592	-23.716	-9.800	0.47894	0.68884	0.28036	-0.46622	23.6	13111	100
2024-11-3 15:37:43.784	WT901BLE68(B2C0FB98454F)	-0.884	0.377	-0.158	-5.188	15.808	-0.793	110.96	63.68	6.20	39.592	-23.716	-9.800	0.50348	0.68811	0.33856	-0.39783	23.6	13111	100
2024-11-3 15:37:43.844	WT901BLE68(B2C0FB98454F)	-0.865	0.442	-0.204	-7.874	2.747	3.906	111.93	63.03	8.20	39.592	-23.716	-9.800	0.50348	0.68811	0.33856	-0.39783	23.6	13111	100
2024-11-3 15:37:43.970	WT901BLE68(B2C0FB98454F)	-0.864	0.435	-0.193	-22.888	13.855	-3.235	111.94	62.76	9.48	39.592	-23.716	-9.800	0.50348	0.68811	0.33856	-0.39783	23.6	13111	100
2024-11-3 15:37:44.54	WT901BLE68(B2C0FB98454F)	-0.908	0.565	-0.046	-25.513	-2.075	15.015	110.70	61.95	10.63	40.180	-23.226	-9.212	0.50348	0.68811	0.33856	-0.39783	23.6	13111	100
2024-11-3 15:37:44.174	WT901BLE68(B2C0FB98454F)	-1.268	0.509	0.112	-84.717	-41.870	38.269	101.12	59.85	7.19	40.180	-23.226	-9.212	0.50348	0.68811	0.33856	-0.39783	23.6	13111	100
2024-11-3 15:37:44.276	WT901BLE68(B2C0FB98454F)	-0.307	0.757	0.438	-71.777	-152.222	78.613	75.40	53.99	-17.43	40.180	-23.226	-9.212	0.65790	0.59332	0.26263	-0.38211	23.6	13111	100
