time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-4 13:35:28.994	WT901BLE68(B2C0FB98454F)	0.939	0.431	-0.022	-2.380	2.686	0.793	88.90	-63.81	-12.36	-38.612	-10.878	-18.326	-0.64227	-0.55048	0.43811	-0.30402	24.3	13111	100
2024-11-4 13:35:29.112	WT901BLE68(B2C0FB98454F)	0.906	0.392	0.017	5.493	11.597	-0.793	87.31	-63.75	-10.84	-38.612	-10.878	-18.326	-0.64111	-0.55096	0.43262	-0.31326	24.3	13111	100
2024-11-4 13:35:29.263	WT901BLE68(B2C0FB98454F)	0.946	0.402	-0.021	12.695	6.653	-4.822	87.02	-63.72	-9.75	-38.612	-10.878	-18.326	-0.64111	-0.55096	0.43262	-0.31326	24.3	13111	100
2024-11-4 13:35:29.353	WT901BLE68(B2C0FB98454F)	0.921	0.371	0.072	16.052	4.333	-3.418	87.79	-63.51	-9.01	-37.926	-12.054	-19.600	-0.64111	-0.55096	0.43262	-0.31326	24.3	13111	100
2024-11-4 13:35:29.381	WT901BLE68(B2C0FB98454F)	0.911	0.343	0.063	21.301	11.292	-9.399	87.45	-62.96	-6.80	-37.926	-12.054	-19.600	-0.64111	-0.55096	0.43262	-0.31326	24.3	13111	100
2024-11-4 13:35:29.534	WT901BLE68(B2C0FB98454F)	0.898	0.375	-0.017	34.058	13.245	-8.789	87.76	-62.33	-4.38	-37.926	-12.054	-19.600	-0.61551	-0.59848	0.36932	-0.35559	24.3	13111	100
2024-11-4 13:35:29.594	WT901BLE68(B2C0FB98454F)	0.948	0.372	0.011	51.636	24.902	-18.005	88.13	-61.22	-0.26	-37.926	-12.054	-19.600	-0.61551	-0.59848	0.36932	-0.35559	24.3	13111	100
2024-11-4 13:35:29.714	WT901BLE68(B2C0FB98454F)	0.887	0.334	-0.001	21.423	7.324	-19.470	88.57	-59.61	4.28	-34.986	-18.228	-20.874	-0.61551	-0.59848	0.36932	-0.35559	24.3	13111	100
2024-11-4 13:35:29.804	WT901BLE68(B2C0FB98454F)	1.071	0.366	-0.040	16.174	16.785	-40.344	87.88	-57.12	7.92	-34.986	-18.228	-20.874	-0.61551	-0.59848	0.36932	-0.35559	24.3	13111	100
2024-11-4 13:35:29.926	WT901BLE68(B2C0FB98454F)	0.750	0.666	0.083	25.208	2.747	-41.931	89.66	-54.08	9.05	-34.986	-18.228	-20.874	-0.61551	-0.59848	0.36932	-0.35559	24.3	13111	100
