time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-4 13:36:41.833	WT901BLE68(B2C0FB98454F)	0.876	-0.417	-0.037	2.380	-3.479	-4.822	-93.18	-65.47	131.88	-17.052	30.674	-19.698	0.62790	0.03510	-0.69620	0.34592	23.3	13111	100
2024-11-4 13:36:41.893	WT901BLE68(B2C0FB98454F)	0.882	-0.443	-0.059	0.610	-6.653	-4.944	-94.31	-65.80	133.64	-17.052	30.674	-19.698	0.58856	0.10666	-0.71039	0.37073	23.3	13111	100
2024-11-4 13:36:42.13	WT901BLE68(B2C0FB98454F)	0.901	-0.478	-0.072	9.827	-12.573	-6.348	-95.88	-65.95	136.30	-17.052	30.674	-19.698	0.58856	0.10666	-0.71039	0.37073	23.3	13111	100
2024-11-4 13:36:42.105	WT901BLE68(B2C0FB98454F)	0.864	-0.404	-0.040	-3.296	1.221	-0.122	-97.15	-66.10	138.11	-18.326	30.282	-20.482	0.58856	0.10666	-0.71039	0.37073	23.3	13111	100
2024-11-4 13:36:42.223	WT901BLE68(B2C0FB98454F)	0.951	-0.406	0.033	-15.991	-5.859	-14.587	-99.07	-66.68	139.48	-18.326	30.282	-20.482	0.58856	0.10666	-0.71039	0.37073	23.3	13111	100
2024-11-4 13:36:42.314	WT901BLE68(B2C0FB98454F)	0.861	-0.361	0.013	15.991	-21.362	-5.676	-102.88	-67.19	145.27	-18.326	30.282	-20.482	0.56497	0.14664	-0.72263	0.37009	23.3	13111	100
2024-11-4 13:36:42.465	WT901BLE68(B2C0FB98454F)	0.881	-0.432	-0.001	16.418	-23.865	-5.798	-105.46	-67.38	149.85	-18.326	30.282	-20.482	0.56497	0.14664	-0.72263	0.37009	23.3	13111	100
2024-11-4 13:36:42.495	WT901BLE68(B2C0FB98454F)	0.947	-0.345	0.091	19.043	-39.368	-3.174	-110.63	-66.75	158.03	-22.344	29.302	-21.070	0.56497	0.14664	-0.72263	0.37009	23.3	13111	100
2024-11-4 13:36:42.645	WT901BLE68(B2C0FB98454F)	1.183	-0.316	0.007	16.174	-13.794	6.958	-113.49	-65.84	163.45	-22.344	29.302	-21.070	0.56497	0.14664	-0.72263	0.37009	23.3	13111	100
2024-11-4 13:36:42.705	WT901BLE68(B2C0FB98454F)	1.064	-0.440	0.039	13.672	-28.320	12.024	-114.82	-64.50	165.44	-22.344	29.302	-21.070	0.50485	0.19696	-0.73972	0.39880	23.3	13111	100
