time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-11-4 13:36:14.325	WT901BLE68(B2C0FB98454F)	0.254	0.820	-0.420	-2.380	7.935	-11.108	116.40	-14.69	-57.15	-22.638	-21.266	0.196	-0.50888	-0.71030	0.46271	0.14941	23.3	13111	100
2024-11-4 13:36:14.444	WT901BLE68(B2C0FB98454F)	0.213	0.859	-0.441	-14.160	1.892	-5.615	115.25	-14.29	-55.99	-22.638	-21.266	0.196	-0.50888	-0.71030	0.46271	0.14941	23.3	13111	100
2024-11-4 13:36:14.504	WT901BLE68(B2C0FB98454F)	0.235	0.916	-0.420	-8.240	-17.822	1.221	114.16	-13.71	-55.91	-21.266	-23.520	-2.646	-0.50888	-0.71030	0.46271	0.14941	23.3	13111	100
2024-11-4 13:36:14.624	WT901BLE68(B2C0FB98454F)	0.168	0.847	-0.391	-9.216	-28.137	17.273	113.96	-13.47	-58.69	-21.266	-23.520	-2.646	-0.50888	-0.71030	0.46271	0.14941	23.3	13111	100
2024-11-4 13:36:14.713	WT901BLE68(B2C0FB98454F)	0.216	0.901	-0.378	-18.188	-24.780	12.085	113.32	-13.49	-61.86	-21.266	-23.520	-2.646	-0.51630	-0.67917	0.48489	0.19217	23.3	13111	100
2024-11-4 13:36:14.834	WT901BLE68(B2C0FB98454F)	0.165	0.852	-0.393	-20.264	-25.330	14.832	112.30	-13.54	-64.40	-21.266	-23.520	-2.646	-0.51630	-0.67917	0.48489	0.19217	23.3	13111	100
2024-11-4 13:36:14.924	WT901BLE68(B2C0FB98454F)	0.237	0.854	-0.398	-28.259	-24.963	17.212	110.75	-13.93	-67.03	-22.344	-22.442	-1.078	-0.51630	-0.67917	0.48489	0.19217	23.3	13111	100
2024-11-4 13:36:15.45	WT901BLE68(B2C0FB98454F)	0.094	0.861	-0.394	-36.255	-44.373	27.039	108.64	-14.61	-70.68	-22.344	-22.442	-1.078	-0.51630	-0.67917	0.48489	0.19217	23.3	13111	100
2024-11-4 13:36:15.104	WT901BLE68(B2C0FB98454F)	0.109	1.004	-0.408	-24.780	-39.246	22.583	106.66	-15.38	-75.13	-22.344	-22.442	-1.078	-0.53265	-0.57742	0.55460	0.27420	23.3	13111	100
2024-11-4 13:36:15.224	WT901BLE68(B2C0FB98454F)	0.317	1.040	-0.500	2.563	-33.447	3.540	106.69	-15.12	-78.31	-22.344	-22.442	-1.078	-0.53265	-0.57742	0.55460	0.27420	23.3	13111	100
2024-11-4 13:36:15.314	WT901BLE68(B2C0FB98454F)	0.350	0.989	-0.290	91.492	-19.775	-14.832	112.46	-13.24	-80.43	-22.638	-21.070	4.508	-0.53265	-0.57742	0.55460	0.27420	23.3	13111	100
2024-11-4 13:36:15.434	WT901BLE68(B2C0FB98454F)	0.262	1.151	-0.620	154.968	-59.326	-72.388	127.86	-7.39	-83.46	-22.638	-21.070	4.508	-0.53265	-0.57742	0.55460	0.27420	23.3	13111	100
2024-11-4 13:36:15.524	WT901BLE68(B2C0FB98454F)	-0.012	0.719	-0.642	129.028	38.147	-82.031	139.37	-1.43	-78.49	-22.638	-21.070	4.508	-0.27103	-0.72702	0.59723	0.20303	23.3	13111	100
2024-11-4 13:36:15.644	WT901BLE68(B2C0FB98454F)	-0.168	0.343	-0.507	32.837	-1.465	-56.519	144.43	1.68	-74.51	-22.638	-21.070	4.508	-0.27103	-0.72702	0.59723	0.20303	23.3	13111	100
2024-11-4 13:36:15.734	WT901BLE68(B2C0FB98454F)	-0.068	0.116	-0.714	-85.144	5.249	-0.549	140.47	1.68	-73.79	-14.994	-18.816	17.444	-0.27103	-0.72702	0.59723	0.20303	23.3	13111	100
2024-11-4 13:36:15.855	WT901BLE68(B2C0FB98454F)	0.249	0.427	-1.132	37.170	39.001	-33.997	137.16	1.22	-71.31	-14.994	-18.816	17.444	-0.27103	-0.72702	0.59723	0.20303	23.3	13111	100
2024-11-4 13:36:15.915	WT901BLE68(B2C0FB98454F)	-0.062	0.860	-0.820	-25.879	-32.776	0.000	138.03	0.96	-67.91	-14.994	-18.816	17.444	-0.28882	-0.77521	0.52243	0.20633	23.3	13111	100
2024-11-4 13:36:16.64	WT901BLE68(B2C0FB98454F)	0.177	1.020	-0.252	-130.188	-63.049	69.336	135.10	0.03	-71.98	-14.994	-18.816	17.444	-0.28882	-0.77521	0.52243	0.20633	23.3	13111	100
