time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-24 22:43:13.416	WT901BLE68(B2C0FB98454F)	-0.498	-0.865	0.039	6.042	-6.409	2.319	-87.00	32.83	-53.98	17.248	45.864	0.980	-0.70416	0.50128	-0.48315	0.13892	23.1	13111	100
2024-10-24 22:43:13.536	WT901BLE68(B2C0FB98454F)	-0.525	-0.880	0.046	-4.639	4.089	-3.296	-87.04	32.62	-55.28	17.346	45.962	-0.098	-0.70416	0.50128	-0.48315	0.13892	23.1	13111	100
2024-10-24 22:43:13.595	WT901BLE68(B2C0FB98454F)	-0.529	-0.848	0.070	-6.775	-9.399	-0.549	-87.45	32.35	-56.04	17.346	45.962	-0.098	-0.70416	0.50128	-0.48315	0.13892	23.1	13111	100
2024-10-24 22:43:13.716	WT901BLE68(B2C0FB98454F)	-0.542	-0.869	0.075	-4.578	-0.061	3.052	-87.58	32.43	-56.37	17.346	45.962	-0.098	-0.70087	0.49106	-0.49292	0.15665	23.1	13111	100
2024-10-24 22:43:13.806	WT901BLE68(B2C0FB98454F)	-0.526	-0.861	0.030	-10.620	2.502	6.836	-88.08	32.77	-56.84	17.346	45.962	-0.098	-0.70087	0.49106	-0.49292	0.15665	23.1	13111	100
2024-10-24 22:43:13.928	WT901BLE68(B2C0FB98454F)	-0.553	-0.864	0.085	-9.033	-7.385	8.484	-88.40	33.38	-57.06	18.424	45.570	1.862	-0.70087	0.49106	-0.49292	0.15665	23.1	13111	100
2024-10-24 22:43:14.17	WT901BLE68(B2C0FB98454F)	-0.476	-0.825	0.123	2.808	4.883	11.108	-88.26	34.17	-56.80	18.424	45.570	1.862	-0.70087	0.49106	-0.49292	0.15665	23.1	13111	100
2024-10-24 22:43:14.138	WT901BLE68(B2C0FB98454F)	-0.645	-0.856	0.196	4.639	-19.287	22.217	-87.03	35.66	-55.34	18.424	45.570	1.862	-0.71848	0.47839	-0.49164	0.11453	23.1	13111	100
2024-10-24 22:43:14.227	WT901BLE68(B2C0FB98454F)	-0.548	-0.883	0.004	-9.644	-18.616	20.813	-84.80	37.35	-50.15	18.424	45.570	1.862	-0.71848	0.47839	-0.49164	0.11453	23.1	13111	100
2024-10-24 22:43:14.348	WT901BLE68(B2C0FB98454F)	-0.516	-0.822	0.136	-33.081	8.362	24.536	-87.74	39.31	-49.13	25.284	40.964	6.076	-0.71848	0.47839	-0.49164	0.11453	23.1	13111	100
2024-10-24 22:43:14.407	WT901BLE68(B2C0FB98454F)	-0.877	-0.860	0.026	-36.621	-4.028	31.555	-90.35	41.70	-46.57	25.284	40.964	6.076	-0.71848	0.47839	-0.49164	0.11453	23.1	13111	100
2024-10-24 22:43:14.527	WT901BLE68(B2C0FB98454F)	-0.718	-0.665	-0.134	-26.245	62.927	4.456	-95.62	42.17	-47.08	25.284	40.964	6.076	-0.65375	0.55115	-0.51825	0.01346	23.1	13111	100
2024-10-24 22:43:14.616	WT901BLE68(B2C0FB98454F)	-0.637	-1.011	-0.332	-8.484	63.599	-45.410	-105.35	38.69	-55.83	25.284	40.964	6.076	-0.65375	0.55115	-0.51825	0.01346	23.1	13111	100
