time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-24 22:54:18.948	WT901BLE68(B2C0FB98454F)	-0.680	-0.727	0.100	-0.183	-1.099	-0.854	-81.49	42.75	157.15	29.988	24.304	-13.720	0.09378	0.39072	0.54211	-0.73792	26.3	13111	100
2024-10-24 22:54:19.98	WT901BLE68(B2C0FB98454F)	-0.677	-0.730	0.113	1.160	-0.977	-0.488	-81.38	42.67	157.13	29.988	24.304	-13.720	0.09378	0.39072	0.54211	-0.73792	26.3	13111	100
2024-10-24 22:54:19.129	WT901BLE68(B2C0FB98454F)	-0.677	-0.731	0.121	-0.122	-1.404	-0.549	-81.25	42.57	157.19	29.988	24.304	-13.720	0.09378	0.39072	0.54211	-0.73792	26.3	13111	100
2024-10-24 22:54:19.248	WT901BLE68(B2C0FB98454F)	-0.669	-0.739	0.125	0.366	-1.770	0.000	-81.07	42.53	157.20	29.694	24.206	-13.426	0.09378	0.39072	0.54211	-0.73792	26.3	13111	100
2024-10-24 22:54:19.399	WT901BLE68(B2C0FB98454F)	-0.674	-0.738	0.125	0.000	-1.099	0.122	-80.91	42.48	157.14	29.694	24.206	-13.426	0.08987	0.38998	0.53870	-0.74130	26.3	13111	100
2024-10-24 22:54:19.428	WT901BLE68(B2C0FB98454F)	-0.672	-0.738	0.122	0.122	-0.488	-0.061	-80.77	42.44	157.07	29.694	24.206	-13.426	0.08987	0.38998	0.53870	-0.74130	26.3	13111	100
2024-10-24 22:54:19.550	WT901BLE68(B2C0FB98454F)	-0.675	-0.738	0.127	0.183	-0.610	0.000	-80.71	42.40	156.92	29.792	24.206	-13.328	0.08987	0.38998	0.53870	-0.74130	26.3	13111	100
2024-10-24 22:54:19.608	WT901BLE68(B2C0FB98454F)	-0.703	-0.735	0.126	-0.244	-0.916	0.000	-80.61	42.35	156.81	29.792	24.206	-13.328	0.08987	0.38998	0.53870	-0.74130	26.3	13111	100
2024-10-24 22:54:19.760	WT901BLE68(B2C0FB98454F)	-0.672	-0.732	0.112	-1.160	-3.296	0.732	-80.51	42.31	156.80	29.792	24.206	-13.328	0.08621	0.39017	0.53555	-0.74393	26.3	13111	100
2024-10-24 22:54:19.939	WT901BLE68(B2C0FB98454F)	-0.642	-0.761	0.082	-4.578	-2.991	-2.380	-80.36	42.23	157.02	29.792	24.206	-13.328	0.08621	0.39017	0.53555	-0.74393	26.3	13111	100
2024-10-24 22:54:20.29	WT901BLE68(B2C0FB98454F)	-0.660	-0.738	0.131	-2.502	-4.517	-0.916	-80.61	41.90	156.92	29.792	24.206	-13.328	0.08621	0.39017	0.53555	-0.74393	26.3	13111	100
2024-10-24 22:54:20.30	WT901BLE68(B2C0FB98454F)	-0.604	-0.776	0.101	-8.972	-13.184	0.366	-80.19	41.82	157.71	29.400	24.108	-12.936	0.08621	0.39017	0.53555	-0.74393	26.3	13111	100
2024-10-24 22:54:20.208	WT901BLE68(B2C0FB98454F)	-0.616	-0.758	0.090	-21.606	-1.953	-9.949	-81.27	41.20	158.42	29.400	24.108	-12.936	0.09039	0.37390	0.55585	-0.73685	26.3	13111	100
2024-10-24 22:54:20.239	WT901BLE68(B2C0FB98454F)	-0.723	-0.756	0.082	-11.841	-13.855	-0.732	-82.17	40.43	158.23	29.400	24.108	-12.936	0.09039	0.37390	0.55585	-0.73685	26.3	13111	100
2024-10-24 22:54:20.359	WT901BLE68(B2C0FB98454F)	-0.606	-0.698	0.116	-27.893	-44.739	0.916	-81.62	40.01	161.74	29.302	23.422	-10.192	0.09039	0.37390	0.55585	-0.73685	26.3	13111	100
