time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-24 22:28:53.254	WT901BLE68(B2C0FB98454F)	-0.506	-0.842	-0.044	-0.732	10.193	-1.526	-98.61	29.16	117.16	45.668	25.382	-6.370	0.17191	-0.52859	-0.53693	0.63452	21.5	13111	90
2024-10-24 22:28:53.344	WT901BLE68(B2C0FB98454F)	-0.481	-0.871	-0.053	-1.160	6.958	-3.845	-98.76	29.00	115.52	45.668	25.382	-6.370	0.17191	-0.52859	-0.53693	0.63452	21.5	13111	90
2024-10-24 22:28:53.405	WT901BLE68(B2C0FB98454F)	-0.497	-0.860	-0.075	-10.925	0.122	-5.859	-99.07	28.53	114.69	44.394	26.852	-3.528	0.17191	-0.52859	-0.53693	0.63452	21.5	13111	90
2024-10-24 22:28:53.524	WT901BLE68(B2C0FB98454F)	-0.517	-0.865	-0.081	-10.620	3.296	-5.981	-99.90	27.84	113.88	44.394	26.852	-3.528	0.17191	-0.52859	-0.53693	0.63452	21.5	13111	90
2024-10-24 22:28:53.644	WT901BLE68(B2C0FB98454F)	-0.480	-0.886	-0.058	4.028	4.333	2.136	-100.11	27.63	112.74	44.394	26.852	-3.528	0.19644	-0.54349	-0.52982	0.62064	21.5	13111	90
2024-10-24 22:28:53.734	WT901BLE68(B2C0FB98454F)	-0.493	-0.877	-0.124	-1.343	0.854	1.221	-99.64	27.90	111.69	44.394	26.852	-3.528	0.19644	-0.54349	-0.52982	0.62064	21.5	13111	90
2024-10-24 22:28:53.855	WT901BLE68(B2C0FB98454F)	-0.507	-0.880	-0.097	-3.052	0.427	0.671	-99.79	27.98	111.03	44.198	26.950	-2.254	0.19644	-0.54349	-0.52982	0.62064	21.5	13111	90
2024-10-24 22:28:53.945	WT901BLE68(B2C0FB98454F)	-0.516	-0.859	-0.108	-2.075	1.404	0.854	-99.84	28.10	110.25	44.198	26.950	-2.254	0.19644	-0.54349	-0.52982	0.62064	21.5	13111	90
2024-10-24 22:28:54.4	WT901BLE68(B2C0FB98454F)	-0.482	-0.872	-0.104	-5.066	-4.333	-0.244	-100.00	28.25	109.99	44.198	26.950	-2.254	0.20593	-0.55692	-0.51642	0.61694	21.5	13111	90
2024-10-24 22:28:54.154	WT901BLE68(B2C0FB98454F)	-0.518	-0.880	-0.106	1.831	2.380	0.916	-99.84	28.34	109.40	44.198	26.950	-2.254	0.20593	-0.55692	-0.51642	0.61694	21.5	13111	90
