time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-24 22:49:19.207	WT901BLE68(B2C0FB98454F)	0.056	-0.711	0.003	-34.912	-108.276	5.798	-85.55	2.44	162.47	12.054	38.514	-19.110	-0.03940	0.06985	0.73511	-0.67310	27.1	13111	100
2024-10-24 22:49:19.387	WT901BLE68(B2C0FB98454F)	-0.273	-0.962	-0.063	-28.320	56.641	3.296	-87.11	2.76	163.49	13.132	36.848	-27.048	-0.03940	0.06985	0.73511	-0.67310	27.1	13111	100
2024-10-24 22:49:19.418	WT901BLE68(B2C0FB98454F)	0.068	-1.021	0.061	-21.240	16.479	8.972	-89.96	3.47	157.01	13.132	36.848	-27.048	-0.03940	0.06985	0.73511	-0.67310	27.1	13111	100
2024-10-24 22:49:19.537	WT901BLE68(B2C0FB98454F)	-0.115	-1.007	-0.031	-8.057	-0.916	3.662	-90.79	4.24	157.86	13.132	36.848	-27.048	-0.10849	0.16248	0.69446	-0.69241	27.1	13111	100
2024-10-24 22:49:19.597	WT901BLE68(B2C0FB98454F)	-0.113	-0.994	-0.037	-16.296	30.334	4.578	-92.17	4.40	155.40	13.132	36.848	-27.048	-0.10849	0.16248	0.69446	-0.69241	27.1	13111	100
2024-10-24 22:49:19.718	WT901BLE68(B2C0FB98454F)	-0.083	-1.006	-0.033	-12.878	2.747	6.836	-93.78	5.05	153.57	16.954	38.220	-20.580	-0.10849	0.16248	0.69446	-0.69241	27.1	13111	100
2024-10-24 22:49:19.808	WT901BLE68(B2C0FB98454F)	-0.104	-1.021	-0.033	-3.967	-0.793	-5.188	-94.60	5.15	152.91	16.954	38.220	-20.580	-0.10849	0.16248	0.69446	-0.69241	27.1	13111	100
2024-10-24 22:49:19.959	WT901BLE68(B2C0FB98454F)	-0.052	-0.968	-0.103	-8.301	-11.963	-1.099	-94.92	4.83	153.58	16.954	38.220	-20.580	-0.12189	0.19522	0.71262	-0.66266	27.1	13111	100
2024-10-24 22:49:20.18	WT901BLE68(B2C0FB98454F)	-0.026	-1.007	-0.088	-8.606	6.531	2.686	-95.86	5.02	153.42	16.954	38.220	-20.580	-0.12189	0.19522	0.71262	-0.66266	27.1	13111	100
2024-10-24 22:49:20.139	WT901BLE68(B2C0FB98454F)	-0.045	-0.993	-0.118	-5.127	12.024	5.554	-96.41	5.17	152.02	17.444	38.808	-17.836	-0.12189	0.19522	0.71262	-0.66266	27.1	13111	100
