time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-10-20 13:42:13:407	WT901BLE68(D1:B7:24:41:63:E6)	0.011	-0.014	1.014	0.000	0.000	0.000	-0.81	-0.74	-12.08	-49.098	32.830	-125.244	0.99435	-0.00778	-0.00571	-0.10532	26.3	13111	100
2024-10-20 13:42:13:519	WT901BLE68(D1:B7:24:41:63:E6)	-0.070	-0.015	1.013	0.366	0.793	78.552	-0.62	-0.70	-10.11	-49.098	32.830	-125.244	0.99435	-0.00778	-0.00571	-0.10532	26.3	13111	100
2024-10-20 13:42:13:609	WT901BLE68(D1:B7:24:41:63:E6)	-0.035	-0.198	1.013	2.869	-0.732	-24.292	-0.76	-0.70	-7.99	-49.098	32.830	-125.244	0.99765	-0.00531	-0.00552	-0.06760	26.3	13111	100
2024-10-20 13:42:13:721	WT901BLE68(D1:B7:24:41:63:E6)	0.067	-0.026	1.016	-11.719	-0.793	19.897	-0.80	-0.67	-6.98	-49.098	32.830	-125.244	0.99765	-0.00531	-0.00552	-0.06760	26.3	13111	100
2024-10-20 13:42:13:812	WT901BLE68(D1:B7:24:41:63:E6)	-0.125	-0.046	1.026	4.456	5.920	5.066	-0.55	-0.44	-4.86	-48.804	29.302	-126.812	0.99765	-0.00531	-0.00552	-0.06760	26.3	13111	100
2024-10-20 13:42:13:924	WT901BLE68(D1:B7:24:41:63:E6)	-0.261	-0.092	1.133	-19.165	43.274	9.155	-3.35	2.42	-5.03	-48.804	29.302	-126.812	0.99765	-0.00531	-0.00552	-0.06760	26.3	13111	100
2024-10-20 13:42:14:16	WT901BLE68(D1:B7:24:41:63:E6)	-0.422	-0.031	1.118	-1.892	75.562	6.592	-3.88	8.11	-4.93	-48.804	29.302	-126.812	0.99146	-0.03479	0.11874	-0.04022	26.3	13111	100
2024-10-20 13:42:14:128	WT901BLE68(D1:B7:24:41:63:E6)	-0.315	0.058	0.996	-36.621	108.215	5.249	-6.05	17.33	-5.52	-48.804	29.302	-126.812	0.99146	-0.03479	0.11874	-0.04022	26.3	13111	100
2024-10-20 13:42:14:198	WT901BLE68(D1:B7:24:41:63:E6)	-0.521	-0.170	0.856	-51.331	71.594	-51.880	-9.86	27.20	-9.64	-52.626	17.934	-118.482	0.99146	-0.03479	0.11874	-0.04022	26.3	13111	100
2024-10-20 13:42:14:332	WT901BLE68(D1:B7:24:41:63:E6)	-0.741	-0.199	0.734	-50.598	105.713	-38.330	-16.75	35.57	-14.12	-52.626	17.934	-118.482	0.99146	-0.03479	0.11874	-0.04022	26.3	13111	100
2024-10-20 13:42:14:423	WT901BLE68(D1:B7:24:41:63:E6)	-0.815	-0.310	0.583	-51.025	247.986	49.377	-29.72	50.69	-25.48	-52.626	17.934	-118.482	0.99146	-0.03479	0.11874	-0.04022	26.3	13111	100
2024-10-20 13:42:14:534	WT901BLE68(D1:B7:24:41:63:E6)	-1.018	-0.061	0.168	38.696	119.812	66.833	-25.89	73.91	-26.83	-52.626	17.934	-118.482	0.76022	-0.03589	0.64587	-0.05930	26.3	13111	100
2024-10-20 13:42:14:600	WT901BLE68(D1:B7:24:41:63:E6)	-1.220	-0.305	0.016	-29.236	110.718	-96.069	-88.44	78.28	-90.12	-52.626	17.934	-118.482	0.76022	-0.03589	0.64587	-0.05930	26.3	13111	100
2024-10-20 13:42:14:736	WT901BLE68(D1:B7:24:41:63:E6)	-0.802	-0.207	-0.234	-145.020	138.672	84.106	-129.45	72.89	-129.69	-23.618	16.464	-75.950	0.76022	-0.03589	0.64587	-0.05930	26.3	13111	100
2024-10-20 13:42:14:803	WT901BLE68(D1:B7:24:41:63:E6)	-0.330	-0.012	-0.476	58.838	264.526	133.728	-179.51	60.41	174.70	-23.618	16.464	-75.950	0.76022	-0.03589	0.64587	-0.05930	26.3	13111	100
2024-10-20 13:42:14:939	WT901BLE68(D1:B7:24:41:63:E6)	-0.146	0.021	-0.964	139.282	166.565	-68.237	-165.17	32.56	171.56	-23.618	16.464	-75.950	0.22238	0.10257	0.95175	-0.18457	26.3	13111	100
2024-10-20 13:42:15:8	WT901BLE68(D1:B7:24:41:63:E6)	-0.058	-0.360	-0.831	69.702	120.300	-35.095	-154.00	19.37	171.95	-23.618	16.464	-75.950	0.22238	0.10257	0.95175	-0.18457	26.3	13111	100
2024-10-20 13:42:15:142	WT901BLE68(D1:B7:24:41:63:E6)	-0.004	-0.130	-0.960	-345.642	35.278	44.861	-169.95	10.33	171.90	-58.212	11.956	-35.084	0.22238	0.10257	0.95175	-0.18457	26.3	13111	100
2024-10-20 13:42:15:210	WT901BLE68(D1:B7:24:41:63:E6)	-0.060	0.053	-1.025	-118.042	0.977	54.199	174.52	9.35	173.24	-58.212	11.956	-35.084	0.22238	0.10257	0.95175	-0.18457	26.3	13111	100
2024-10-20 13:42:15:364	WT901BLE68(D1:B7:24:41:63:E6)	-0.116	0.082	-0.987	294.556	-25.574	10.010	177.47	8.85	172.76	-58.212	11.956	-35.084	0.08087	0.05960	0.99255	-0.06799	26.3	13111	100
2024-10-20 13:42:15:412	WT901BLE68(D1:B7:24:41:63:E6)	-0.000	-0.341	-0.928	333.801	-16.724	-7.751	-154.82	9.65	175.48	-58.212	11.956	-35.084	0.08087	0.05960	0.99255	-0.06799	26.3	13111	100
2024-10-20 13:42:15:579	WT901BLE68(D1:B7:24:41:63:E6)	0.087	-0.613	-0.728	-99.731	75.989	-49.866	-143.57	4.79	178.46	-65.758	32.536	-33.516	0.08087	0.05960	0.99255	-0.06799	26.3	13111	100
2024-10-20 13:42:15:613	WT901BLE68(D1:B7:24:41:63:E6)	0.306	-0.701	-0.562	99.365	111.633	12.634	-147.65	-4.78	-179.70	-65.758	32.536	-33.516	0.08087	0.05960	0.99255	-0.06799	26.3	13111	100
2024-10-20 13:42:15:779	WT901BLE68(D1:B7:24:41:63:E6)	0.398	-0.723	-0.650	53.528	-5.737	6.592	-135.87	-9.27	178.10	-65.758	32.536	-33.516	-0.08987	-0.04544	0.92328	-0.37051	26.3	13111	100
2024-10-20 13:42:15:816	WT901BLE68(D1:B7:24:41:63:E6)	0.842	-0.800	-0.569	-185.303	176.697	-172.485	-149.21	-30.23	-170.61	-65.758	32.536	-33.516	-0.08987	-0.04544	0.92328	-0.37051	26.3	13111	100
2024-10-20 13:42:15:951	WT901BLE68(D1:B7:24:41:63:E6)	0.842	-0.214	-0.811	-290.405	128.296	14.893	-167.13	-40.09	-166.31	-98.196	12.348	-44.198	-0.08987	-0.04544	0.92328	-0.37051	26.3	13111	100
2024-10-20 13:42:16:19	WT901BLE68(D1:B7:24:41:63:E6)	0.790	-0.018	-0.546	-195.618	37.720	125.488	-177.88	-46.04	-173.10	-98.196	12.348	-44.198	-0.08987	-0.04544	0.92328	-0.37051	26.3	13111	100
2024-10-20 13:42:16:190	WT901BLE68(D1:B7:24:41:63:E6)	0.870	-0.192	-0.581	62.927	-5.615	62.927	-172.29	-45.82	175.18	-98.196	12.348	-44.198	-0.39578	0.02548	0.91504	-0.07297	26.3	13111	100
2024-10-20 13:42:16:222	WT901BLE68(D1:B7:24:41:63:E6)	0.875	-0.260	-0.656	92.285	55.725	54.260	-156.52	-46.34	165.65	-98.196	12.348	-44.198	-0.39578	0.02548	0.91504	-0.07297	26.3	13111	100
2024-10-20 13:42:16:334	WT901BLE68(D1:B7:24:41:63:E6)	0.966	-0.362	-0.221	39.246	158.569	-6.775	-140.11	-57.41	154.78	-112.798	21.070	-62.328	-0.39578	0.02548	0.91504	-0.07297	26.3	13111	100
2024-10-20 13:42:16:437	WT901BLE68(D1:B7:24:41:63:E6)	0.733	-0.347	-0.102	40.955	177.063	-0.488	-120.53	-65.64	138.41	-112.798	21.070	-62.328	-0.39578	0.02548	0.91504	-0.07297	26.3	13111	100
2024-10-20 13:42:16:536	WT901BLE68(D1:B7:24:41:63:E6)	0.030	-0.250	0.555	83.435	228.333	3.723	-48.51	-65.08	71.62	-112.798	21.070	-62.328	-0.79953	-0.00140	0.52353	-0.29422	26.3	13111	100
2024-10-20 13:42:16:627	WT901BLE68(D1:B7:24:41:63:E6)	0.589	0.095	1.127	52.734	91.553	-5.493	-16.72	-41.63	44.63	-112.798	21.070	-62.328	-0.79953	-0.00140	0.52353	-0.29422	26.3	13111	100
2024-10-20 13:42:16:756	WT901BLE68(D1:B7:24:41:63:E6)	0.392	-0.258	0.894	38.696	173.096	-120.300	-12.23	-34.00	38.08	-92.806	10.192	-115.444	-0.79953	-0.00140	0.52353	-0.29422	26.3	13111	100
2024-10-20 13:42:16:833	WT901BLE68(D1:B7:24:41:63:E6)	0.075	0.069	1.014	27.771	29.541	-50.720	0.62	-27.78	31.47	-92.806	10.192	-115.444	-0.79953	-0.00140	0.52353	-0.29422	26.3	13111	100
2024-10-20 13:42:16:975	WT901BLE68(D1:B7:24:41:63:E6)	0.102	0.317	0.840	13.550	-8.789	-47.119	16.79	-23.02	17.91	-92.806	10.192	-115.444	-0.94022	-0.25363	0.16071	-0.16034	26.3	13111	100
